Layer,Name,GEOID,DIS_2015-2019,DIW_2015-2019,UNS_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,INC_2015-2019,PCI_2015-2019,POV_2015-2019,HDX_2015-2019,PMC_2019,PCT-H_2015-2019,POP_2016-2020
,,,"Disability (% of residents), 2015-2019","Ambulatory difficulty (% of residents), 2015-2019","Uninsured rate (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic White (% of residents), 2015-2019","Population percentages by demographic group, Non-Hispanic Black (% of residents), 2015-2019","Population percentages by demographic group, Asian (% of residents), 2015-2019","Median household income, 2015-2019","Per capita income, 2015-2019","Poverty rate (% of residents), 2015-2019","Hardship Index (0 [lowest] to 100 [greatest] hardship), 2015-2019","Particulate matter (PM 2.5) concentration (µg/m3), 2019","Population percentages by demographic group, Hispanic or Latino (% of residents), 2015-2019","Population counts by demographic group (count of residents), 2016-2020"
Census tract,Tract 8036.07,17031803607,8.55048859934853,3.88843648208469,3.09446254071661,82.5732899022801,0.12214983713355,5.06921824104234,116165.333215023,47972.9859136183,2.12327355184498,9.6,9.539196995,10.0366449511401,4555.0
Census tract,Tract 8036.08,17031803608,6.24562386220417,2.56266629323624,7.14185688278953,64.9068757877048,3.96303038790085,10.3766979414648,71471.0193216354,51258.0222276448,13.849600896233,39.5,9.423739071,16.6923400084022,7396.0
Census tract,Tract 8036.11,17031803611,7.65905947441217,2.64522821576763,19.4502074688797,34.2496542185339,5.99930843706777,7.74550484094053,72323.8346902105,28652.0506666075,15.283540802213,66.0,9.435972678,48.737897648686,6174.0
Census tract,Tract 8036.12,17031803612,9.58203013932329,4.52089849303384,19.2777935740688,27.7793574068809,2.92863235712255,11.6576627807791,65155.5184453959,27874.5461079438,22.2632925789025,70.4,9.43265186227341,55.1606482797839,3500.0
Census tract,Tract 8036.13,17031803613,4.07739396589418,0.79798863139484,28.2794053344993,24.1692173152602,1.21337997376476,7.69567118495846,54551.5442667317,23467.2726546729,20.069960647136,95.7,9.45918281499227,65.9488412767818,3776.0
Census tract,Tract 8036.14,17031803614,4.07739396589418,0.79798863139484,28.2794053344993,24.1692173152602,1.21337997376476,7.69567118495846,54551.5442667317,23467.2726546729,20.069960647136,95.7,9.459229781,65.9488412767818,4775.0
Census tract,Tract 8036.15,17031803615,6.61570535093815,2.4322446143155,10.0208478109798,62.821403752606,4.94788047255038,13.6761640027797,69550.0633110761,50329.8960491581,14.3097407147863,18.3,9.476641257,16.1084086170952,2436.0
Census tract,Tract 8036.16,17031803616,6.61570535093815,2.4322446143155,10.0208478109798,62.821403752606,4.94788047255038,13.6761640027797,69550.0633110761,50329.8960491581,14.3097407147863,18.3,9.476641257,16.1084086170952,5179.0
Census tract,Tract 8037.01,17031803701,6.78273485672833,1.77729416031919,1.74102285092492,76.8980477223427,0.578452639190166,10.6652205350687,95354.0925042703,55314.1988065396,7.73680404916847,11.6,9.509194809,10.0867678958785,2598.0
Census tract,Tract 8037.02,17031803702,8.84759631776338,3.63109444255029,6.44391408114559,79.0084033613445,0.705882352941177,11.1596638655462,115866.211406642,65728.3048869762,5.11122431652233,10.9,9.532713934,6.30252100840336,6319.0
Census tract,Tract 8038,17031803800,7.31058927780239,4.09836065573771,1.50642445724413,79.4860434204697,2.06025697828976,6.77891005759858,98924.4613234544,48184.068324497,4.03190075321223,12.1,9.532255191,10.4563579973416,4404.0
Census tract,Tract 8039.01,17031803901,14.2120965554651,6.31950094928126,3.2546786004882,82.2077569839978,1.81719555193925,10.035259018172,75285.3527363074,48941.4192861421,7.43151613778139,24.1,9.579634426,4.2582045023054,3706.0
Census tract,Tract 8039.02,17031803902,11.6454930429522,6.74531155474894,3.14579552329099,72.0806164789567,0.711321873147599,1.92649673977475,96259.9436544733,42972.7724217485,3.26678765880218,22.6,9.609983333,23.2068761114404,3518.0
Census tract,Tract 8040,17031804000,10.8470847084708,5.94059405940594,6.77667766776678,74.7854785478548,1.32013201320132,4.33443344334433,81874.5182457464,41391.2454136072,5.12651265126513,30.5,9.627184699,18.1518151815182,4613.0
Census tract,Tract 8041.02,17031804102,11.3915225878416,4.94980479643056,1.79866146123815,79.1959245490844,1.40437835605122,14.4155307724081,150394.62667761,71442.3799995563,1.57557166759621,5.8,9.536768579,3.57978796640507,6686.0
Census tract,Tract 8041.04,17031804104,5.45112781954887,2.65246449456976,1.29490392648287,60.3966597077244,2.23382045929019,27.5574112734864,123537.306861288,52608.3132278888,2.38095238095238,10.5,9.49777623,5.94989561586639,5076.0
Census tract,Tract 8041.05,17031804105,4.87741935483871,2.76129032258065,0.309677419354839,75.5870967741935,0.438709677419355,13.4193548387097,139824.595399188,53883.2934182213,2.14193548387097,7.1,9.55397414164148,7.84516129032258,3950.0
Census tract,Tract 8041.06,17031804106,6.21598395875108,1.71870524205099,6.18733887138356,66.0269263821255,0.529934116299055,23.8040676024062,123750.510703432,60456.548193172,2.52583237657865,4.0,9.582612842,4.94127757089659,7187.0
Census tract,Tract 8041.08,17031804108,5.39918116683726,0.921187308085978,9.21187308085978,34.647672348003,5.13864156703129,42.0503688628848,97178.5233922669,43919.9914816212,10.6843042482829,30.9,9.601861475,13.7878402442127,3783.0
Census tract,Tract 8041.09,17031804109,13.6007240604469,6.87486993564396,3.37614809824155,71.8141909444877,4.72193861657805,10.9822297452998,124859.944742186,58318.8362810031,6.32060375583513,16.8182864035244,9.6131911044931,7.86696982488827,3103.0
Census tract,Tract 8042.02,17031804202,7.72190162132454,2.55564715581204,3.48996977191536,70.7062379774663,0.370981038746909,19.3322341302556,140414.353290889,68195.5294483019,3.0228084638637,10.3,9.46645363597486,8.05166254465512,7499.0
Census tract,Tract 8042.03,17031804203,7.26869676817174,2.77680550694201,1.6100805040252,67.7799382363033,1.589843303214,24.3394715772618,151174.252667539,68540.2620288826,5.74000467617489,11.6,9.406925683,4.0146402836555,3260.0
Census tract,Tract 8042.04,17031804204,7.26869676817174,2.77680550694201,1.6100805040252,67.7799382363033,1.589843303214,24.3394715772618,151174.252667539,68540.2620288826,5.74000467617489,11.6,9.406925683,4.0146402836555,5221.0
Census tract,Tract 8043.05,17031804305,12.086351370544,6.71779576764664,6.67518818349666,49.8792785115751,5.1981252662974,6.68939071154666,81204.1459659708,31580.6865280951,3.83959044368601,34.2,9.586742623,36.7561425933816,7418.0
